abbrev,state,average pm,median pm
AL,Alabama,11.35591777879908,10.372393227899021
AZ,Arizona,8.491356262992946,7.273585925224277
AR,Arkansas,10.340648419241772,9.87985268842278
CA,California,10.697089600765253,10.221721839398677
CO,Colorado,6.4288439597906715,5.868986706881655
CT,Connecticut,9.832354460965774,7.326070187693835
DE,Delaware,10.413840205749228,9.551673220967157
DC,District of Columbia,11.226786770833334,9.341598000000001
FL,Florida,7.1567700597403885,6.846907637759562
GA,Georgia,11.743999817006488,11.774812622930746
ID,Idaho,7.51571684035666,6.922654192017471
IL,Illinois,11.605295714362464,10.279846181242833
IN,Indiana,11.633433457295444,10.759759873478156
IA,Iowa,9.587076894967945,8.458195732147473
KS,Kansas,9.244525608628138,9.072146331824701
KY,Kentucky,11.186382926943544,10.911616497976258
LA,Louisiana,8.955259668623063,8.302956463651265
ME,Maine,8.308983605789583,7.495644025793435
MD,Maryland,10.961006930686622,8.92339059966599
MA,Massachusetts,9.080866468795168,8.18264767937165
MI,Michigan,10.190468046235946,9.241939416877278
MN,Minnesota,9.460618191064754,8.400552360920335
MS,Mississippi,9.54225855580125,8.822717261873894
MO,Missouri,10.490603867261278,10.61987831297569
MT,Montana,5.863195867082013,5.659229431690608
NE,Nebraska,8.617127518227434,8.16348242550102
NV,Nevada,7.70339845935229,7.182380838920539
NH,New Hampshire,8.74816260867996,7.825877301306455
NJ,New Jersey,10.940379308125998,9.232967205992425
NM,New Mexico,7.160203505828508,6.773838495339469
NY,New York,10.628215239850936,9.46488414997146
NC,North Carolina,10.376109239928445,9.240406923278474
ND,North Dakota,6.876473245209625,6.737906145977561
OH,Ohio,11.945820156554632,11.498314234025269
OK,Oklahoma,9.798501199047763,9.543164363128959
OR,Oregon,8.475064551210782,6.974773723484157
PA,Pennsylvania,11.88993419045307,10.320808815768997
RI,Rhode Island,8.411747445884671,6.873958883213566
SC,South Carolina,10.850074160782519,9.529182440723424
SD,South Dakota,7.248844281908039,6.711083468176507
TN,Tennessee,10.779125549437042,10.323626511784761
TX,Texas,9.708948144382314,9.107521958105407
UT,Utah,7.712091624245642,5.686546825216071
VT,Vermont,8.14074897052401,7.677007939681452
VA,Virginia,9.849088780793544,8.776711261948133
WA,Washington,8.09870558819267,6.521657871696066
WV,West Virginia,10.043638279867489,9.234453900963725
WI,Wisconsin,9.7067362097522,7.6407618329834275
WY,Wyoming,5.450727977960991,4.922426682773963
